"","age_under 28","age_between 28 and 45","age_beyond 45","education_elementary","education_high","education_graduate","dwelling place_village","dwelling place_town","dwelling place_city","labour_unemployed","labour_small company","labour_huge company","labour_self-employment","gender_female","gender_male","autoritarian-right","autoritarian-left","libertarian-right","libertarian-left"
"1",1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
"2",0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
"3",0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
"4",1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
"5",0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
"6",0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0
"7",1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
"8",0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0
"9",0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0
"10",1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
"11",0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
"12",0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
"13",1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
"14",0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
"15",0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
"16",1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1
"17",0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1
"18",0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
"19",1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
"20",0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
"21",0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
"22",1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
"23",0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
"24",0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
"25",1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
"26",0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
"27",0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
